MAPREF,NAME,ADDRESS,BEDSPACES,STATUS,APPLNO,UPRN,BOUNDARY,OBJECTID,TYPE,STATUS2,Shape__Area,Shape__Length,NOTES,X,Y
2,Marketgate,Marketgate Bond Street South Bristol BS1 3PG,489,Student accommodation,n/a,000000288866,UPRN extent,1495,,Student accommodation as at 11 Sept 2024,2472.745357,312.5092457, ,359528,173264
3,Tower,Prima Vidae Tower Rupert Street City Centre Bristol BS1 2AL,483,Student accommodation,n/a,000000098929,UPRN extent,1496,,Student accommodation as at 11 Sept 2024,1660.313399,165.2759217, ,358766,173294
4,Orchard Heights,Orchard Heights 31 Frogmore Street Bristol BS1 5BY,464,Student accommodation,n/a,000000359437,UPRN extent,1497,,Student accommodation as at 11 Sept 2024,3464.219707,270.0677138, ,358409,172999
6,New Bridewell,New Bridewell Nelson Street City Centre Bristol BS1 2BA,414,Student accommodation,n/a,000000364231,UPRN extent,1498,,Student accommodation as at 11 Sept 2024,1889.92655,319.3941248, ,358856,173277
7,Unite House,Unite House Frogmore Street Bristol BS1 5NA,385,Student accommodation,n/a,000000279766,UPRN extent,1499,,Student accommodation as at 11 Sept 2024,2896.485672,212.2778675, ,358341,172984
8,IQ Marlborough Street,IQ Marlborough Street City Centre Bristol BS1 3EQ,362,Student accommodation,n/a,000000324949,UPRN extent,1500,,Student accommodation as at 11 Sept 2024,735.456655,190.8468619, ,358955,173549
10,Deans Court,Deans Court St Georges Road Bristol BS1 5UL,352,Student accommodation,n/a,000000278366,UPRN extent,1501,,Student accommodation as at 11 Sept 2024,2910.82674,222.2446182, ,358244,172871
12,The Courtrooms,The Courtrooms Rupert Street City Centre Bristol BS1 2AF,321,Student accommodation,n/a,000000357271,UPRN extent,1502,,Student accommodation as at 11 Sept 2024,1645.530471,175.2564468, ,358711,173208
13,King Square House,King Square Studios King Square Bristol BS2 8AU,302,Student accommodation,n/a,000000089480,UPRN extent,1503,,Student accommodation as at 11 Sept 2024,2672.971079,292.6003913, ,358918,173702
16,Glenside,University Of The West Of England Glenside Campus Blackberry Hill Bristol BS16 1DD,288,Student accommodation,n/a,000000271718,Bespoke,1504,,Student accommodation as at 11 Sept 2024,86146.25931,1347.317732, ,362398,176363
17,Phoenix Court,Phoenix Court Bond Street South Bristol BS1 3PH,277,Student accommodation,n/a,000000310927,UPRN extent,1505,,Student accommodation as at 11 Sept 2024,996.63185,162.9594103, ,359512,173323
18,Print Hall I,The Print Hall Temple Way Bristol BS2 0FX,267,Student accommodation,n/a,000000366998,UPRN extent,1506,,Student accommodation as at 11 Sept 2024,1365.834053,172.2728752, ,359602,173072
19,Goldney Hall,Goldney Hall Lower Clifton Hill Bristol BS8 1BH,264,Student accommodation,n/a,000000107390,UPRN extent,1507,,Student accommodation as at 11 Sept 2024,9897.882671,493.1068985, ,357354,172796
20,Cathedral Park,Cathedral Park Park Place Clifton Bristol BS8 1JR,259,Student accommodation,n/a,000000341352,UPRN extent,1508,,Student accommodation as at 11 Sept 2024,5032.440884,333.307368, ,357773,173217
22,Riverside - Favell House,Favell House Crow Lane City Centre Bristol BS1 1DQ,234,Student accommodation,n/a,000000260597,UPRN extent,1509,,Student accommodation as at 11 Sept 2024,930.30425,173.1406022, ,358875,172771
23,Blenheim Court,Blenheim Court Marlborough Street City Centre Bristol BS1 3NW,231,Student accommodation,n/a,000000301208,UPRN extent,1510,,Student accommodation as at 11 Sept 2024,1128.08105,137.4580461, ,358860,173609
25,Clifton Hill House,Clifton Hill House Lower Clifton Hill Bristol BS8 1BT,226,Student accommodation,n/a,000000105961,UPRN extent,1511,,Student accommodation as at 11 Sept 2024,14833.4699,517.7050174, ,357484,172875
26,Chantry Court,Chantry Court Denmark Street Bristol BS1 5DH,226,Student accommodation,n/a,000000289062,UPRN extent,1512,,Student accommodation as at 11 Sept 2024,1094.478719,165.5592903, ,358452,172844
27,Riverside - Waverley House,Waverley House Crow Lane City Centre Bristol BS1 1WH,217,Student accommodation,n/a,000000260594,UPRN extent,1513,,Student accommodation as at 11 Sept 2024,199.19,64.9421749, ,358878,172813
28,Woodland Court,Woodland Court 29 Belgrave Road Bristol BS8 2AA,196,Student accommodation,n/a,000000301575,UPRN extent,1514,,Student accommodation as at 11 Sept 2024,2502.4165,208.0005321, ,357987,173882
29,Manor Hall,Manor Hall Lower Clifton Hill Bristol BS8 1BU,190,Student accommodation,n/a,000000104278,UPRN extent,1515,,Student accommodation as at 11 Sept 2024,9868.2079,432.1145557, ,357581,173020
30,The Hollies,The Hollies Quarry Way Bristol BS16 1FU,186,Student accommodation,n/a,000000041335,UPRN extent,1516,,Student accommodation as at 11 Sept 2024,7547.9337,349.6317959, ,362294,176122
31,Cherry Court,Cherry Court Barton Street Kingsdown Bristol BS1 3NH,175,Student accommodation,n/a,000000296801,UPRN extent,1517,,Student accommodation as at 11 Sept 2024,893.9825,127.6911201, ,358980,173664
32,Transom House,Transom House Victoria Street Bristol BS1 6AH,168,Student accommodation,n/a,000000108394,UPRN extent,1518,,Student accommodation as at 11 Sept 2024,1150.34,161.0239943, ,359253,172682
33,St Lawrence House,St Lawrence House 29 - 31 Broad Street Bristol BS1 2HF,166,Student accommodation,n/a,000000101969,UPRN extent,1519,,Student accommodation as at 11 Sept 2024,629.326575,113.8606041, ,358747,173119
34,Hotwells House,Hotwells House 200 Hotwell Road Bristol BS8 4UN,153,Student accommodation,n/a,000000281494,UPRN extent,1520,,Student accommodation as at 11 Sept 2024,2351.3926,235.3188859, ,357253,172529
35,Water Lane Apartments,IQ Water Lane House 1 Water Lane Redcliff Bristol BS1 6WG,152,Student accommodation,n/a,000000302569,UPRN extent,1521,,Student accommodation as at 11 Sept 2024,2138.16785,225.1457829, ,359314,172757
36,Drake House,Drake House Nelson Street City Centre Bristol BS1 2JT,151,Student accommodation,n/a,000000235476,UPRN extent,1522,,Student accommodation as at 11 Sept 2024,362.82125,82.03299915, ,358766,173226
37,Nelson House,Nelson House Rupert Street City Centre Bristol BS1 2PZ,151,Student accommodation,n/a,000000273855,UPRN extent,1523,,Student accommodation as at 11 Sept 2024,628.6175,112.6421954, ,358792,173238
38,Vita Student Bristol,Raphael House 35 Colston Avenue Bristol BS1 4TT,132,Student accommodation,n/a,000000101787,UPRN extent,1524,,Student accommodation as at 11 Sept 2024,794.590204,116.0096242, ,358636,173107
39,Winkworth House,Winkworth House St Georges Road Bristol BS1 5UU,128,Student accommodation,n/a,000000305116,UPRN extent,1525,,Student accommodation as at 11 Sept 2024,1776.26755,196.6449443, ,358104,172707
40,Northwell House,Northwell House Cromwell Road Montpelier Bristol BS6 5AA,118,Student accommodation,n/a,000000295687,UPRN extent,1526,,Student accommodation as at 11 Sept 2024,554.88375,129.5011553, ,358919,174764
42,Riverside - The Rackhay,Rackhay Queen Charlotte Street Bristol BS1 4HJ,115,Student accommodation,n/a,000000256748,UPRN extent,1527,,Student accommodation as at 11 Sept 2024,486.3649,93.76540048, ,358840,172793
43,Accommodation at Thirty Three,Accommodation At Thirty-Three 33 Colston Street Bristol BS1 5AP,110,Student accommodation,n/a,000000102205,UPRN extent,1528,,Student accommodation as at 11 Sept 2024,263.92625,71.73637388, ,358564,173110
44,Studio 58,Studios 58 4 Dighton Street Bristol BS2 8AL,104,Student accommodation,n/a,000000319682,UPRN extent,1529,,Student accommodation as at 11 Sept 2024,643.1125,103.4615542, ,358907,173686
45,Culver House,Culver House 26 Park Street City Centre Bristol BS1 5JA,97,Student accommodation,n/a,000000256546,UPRN extent,1530,,Student accommodation as at 11 Sept 2024,824.504,123.1866851, ,358304,172952
